#H(e,e'p) Run Summary
#Target: 10 cm LH2

#-------------------
#----HMS Singles----
#-------------------
-----> Particles: electrons
-----> HMS Defocused Run: 1267 (1-PASS),  1327 (3-PASS)
1662  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1663  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1664  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)

1674  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1675  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1676  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1677  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)

1686  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1687  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1688  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1689  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1690  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1691  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1692  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)

1704  	10.59 GeV	1.500 GeV	59.0 deg	February 25, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1705  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1706  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1707  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1708  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1709  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1710  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1711  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1712  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1713  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1714  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1715  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1716  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1717  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1718  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1719  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1720  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1721  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1722  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1723  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1724  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1725  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1726  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1727  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1728  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1729  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1730  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1731  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1732  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1733  	10.59 GeV	1.500 GeV	59.0 deg	February 26, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)

1746  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1747  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1748  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1749  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1750  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1751  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1752  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1753  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1754  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1755  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1756  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1757  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1758  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1759  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1760  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)       Fast Raster Failure
1761  	10.59 GeV	1.500 GeV	59.0 deg	February 27, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)


#------------------
#---SHMS Singles---
#------------------
--------->SHMS Defocused Run: 1791 (3-PASS)
Run#	Beam Energy	SHMS Momentum	SHMS Angle	Date			PASS		Comments
1689    2.221 GeV       2.177 GeV       7.5  	deg 	December 20, 2017       1-PASS
1691    2.221 GeV       2.177 GeV       7.5 	deg   	December 20, 2017       1-PASS
1793    6.430 GeV       6.017 GeV       8.015	deg    	January	 14, 2018       3-PASS
2071    6.430 GeV       5.074 GeV       16.02	deg     January  21, 2018       3-PASS
2072    6.430 GeV       5.074 GeV       16.02	deg     January  21, 2018       3-PASS
2073    6.430 GeV       4.522 GeV       20.03	deg     January  21, 2018       3-PASS
2074    6.430 GeV       4.522 GeV       20.03	deg     January  21, 2018       3-PASS
2085    6.430 GeV       3.349 GeV       30.06	deg     January  21, 2018       3-PASS
2086    6.430 GeV       3.349 GeV       30.06	deg     January  21, 2018       3-PASS
2087    6.430 GeV       2.869 GeV       35.06	deg     January  21, 2018       3-PASS
2088    6.430 GeV       2.869 GeV       35.06	deg     January  21, 2018       3-PASS
2221    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2222    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2223    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2224    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2225    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2226    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2227    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2228    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2229    6.430 GeV       3.911 GeV       25.0	deg     January	 29, 2018	3-PASS
2230   	6.430 GeV       3.600 GeV   	25.0 	deg     January  29, 2018 	3-PASS		Delta =~ 8%, edge acceptance
2231   	6.430 GeV       3.600 GeV   	25.0 	deg     January  29, 2018 	3-PASS

2259	10.59 GeV	7.234 GeV	16.49	deg	January	 31, 2018	5-PASS

2475	10.59 GeV	5.023 GeV	21.0	deg	February 19, 2018	5-PASS		Dipole Saturation Tests
2476	10.59 GeV	5.023 GeV	21.0	deg	February 19, 2018	5-PASS		Dipole Saturation Tests
2477	10.59 GeV	5.023 GeV	21.0	deg	February 19, 2018	5-PASS		Dipole Saturation Tests

2480	10.59 GeV	5.023 GeV	21.0	deg	February 19, 2018	5-PASS		Dipole Saturation Tests
2481	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		Dipole Saturation Tests
2482	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		Dipole Saturation Tests
2483	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		Dipole Saturation Tests
2484	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		Dipole Saturation Tests
2485	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		
2486	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		
2487	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		
2488	10.59 GeV	5.023 GeV	21.0	deg	February 20, 2018	5-PASS		

2569	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2570	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2571	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2572	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2573	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2574	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2575	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2576	10.59 GeV	2.500 GeV	39.0	deg	February 23, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)

2583	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2584	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2585	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2586	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2587	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2588	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2589	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)

2599	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2600	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2601	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2602	10.59 GeV	2.500 GeV	39.0	deg	February 24, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)

2608	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2609	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2610	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2611	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2612	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2613	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2614	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)

2626	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2627	10.59 GeV	2.500 GeV	39.0	deg	February 25, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2628	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2629	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2630	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2631	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2632	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)
2633	10.59 GeV	2.500 GeV	39.0	deg	February 26, 2018	5-PASS		Delta = 20% (edge of SHMS acceptance)

2726	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2727	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2728	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2729	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2730	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)

2737	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2738	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2739	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2740	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2741	10.59 GeV	3.200 GeV	32.985	deg	March 	 02, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)

2747	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2748	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)

2751	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2752	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2753	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)
2754	10.59 GeV	3.200 GeV	32.985	deg	March 	 03, 2018	5-PASS		Delta = 17% (edge of SHMS acceptance)

2902	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2903	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2904	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2905	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2906	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2907	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2908	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2909	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2910	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2911	10.59 GeV	3.700 GeV	28.99	deg	March 	 25, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2912	10.59 GeV	3.700 GeV	28.99	deg	March 	 26, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)
2913	10.59 GeV	3.700 GeV	28.99	deg	March 	 26, 2018	5-PASS		Delta = 18.5% (edge of SHMS acceptance)

3026	10.59 GeV	4.400 GeV	24.98	deg	March 	 28, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3027	10.59 GeV	4.400 GeV	24.98	deg	March 	 28, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3028	10.59 GeV	4.400 GeV	24.98	deg	March 	 28, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3029	10.59 GeV	4.400 GeV	24.98	deg	March 	 28, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)

3030	10.59 GeV	4.400 GeV	24.98	deg	March 	 29, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3031	10.59 GeV	4.400 GeV	24.98	deg	March 	 29, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3032	10.59 GeV	4.400 GeV	24.98	deg	March 	 29, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3033	10.59 GeV	4.400 GeV	24.98	deg	March 	 29, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)
3034	10.59 GeV	4.400 GeV	24.98	deg	March 	 29, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance)

3122	10.59 GeV	4.400 GeV	24.98	deg	March 	 30, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance) -Target Boiling Studies
3123	10.59 GeV	4.400 GeV	24.98	deg	March 	 30, 2018	5-PASS		Delta = 17.0% (edge of SHMS acceptance) -Target Boiling Studies

3148	10.59 GeV	9.800 GeV	8.02	deg	March 	 31, 2018	5-PASS
3149	10.59 GeV	9.800 GeV	8.02	deg	March 	 31, 2018	5-PASS
3150	10.59 GeV	9.800 GeV	8.02	deg	March 	 31, 2018	5-PASS	
3151	10.59 GeV	9.800 GeV	8.02	deg	March 	 31, 2018	5-PASS

3206	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3207	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3208	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3209	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3210	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3211	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3212	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3213	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3214	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies
3215	10.59 GeV	4.400 GeV	24.97	deg	April 	 02, 2018	5-PASS		Delta = 17.1% (edge of SHMS acceptance) -Target Boiling Studies


#------------------
#---Coincidence----
#------------------

Run#	Beam Energy	SHMS Momentum	SHMS Angle	HMS Momentum	HMS Angle	Date			PASS		Comments
1719    2.221 GeV       -1.555 GeV     	30.0 	deg	+1.136 GeV	47.9	deg	December 21, 2018	1-PASS
1722    2.221 GeV	+2.012 GeV	25.0	deg	-0.936 GeV	65.1	deg	December 21, 2017	1-PASS 
1851    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1852    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1853    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1854    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1855    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1856    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
1857    6.430 GeV       -3.550 GeV	27.6	deg	+3.609 GeV	27.5	deg	January	 16, 2018	3-PASS
